"etablissement de tutelle";"université de cotutelle";"nom d'etablissement";"adresse postale";telephone;fax;mail;"site web";directeur;"secretaire général"
"institution de la recherche et de l'enseignement superieur agricloes";;"institution de la recherche et de l'enseignement superieur agricloes";"30, Rue Alain Savary -1002 Tunis Belvédère, Tunisie";"(+216) 71 791.670";"(+216) 71 796.170";bo.iresa@iresa.agrinet.tn;www.iresa.agrinet.tn;"pésident : Mahmoud Elyes Hamza -- directeur Général : Hichem ben salem";"Mabrouk Hélali"
"institution de la recherche et de l'enseignement superieur agricloes";"Université de Carthage";"Ecole Supérieure des Industries Alimentaires de Tunis";"58, Avenue Alain Savary -1003 Cité El Khadhra Tunis, Tunisie";"(+216) 71 770.399 / (+216) 71 770.959";"(+216) 71 771.192";esiat@iresa.agrinet.tn;www.esiat.agrinet.tn;"nabiha bouzouita";"Mohammed Ben Abdallah"
"institution de la recherche et de l'enseignement superieur agricloes";"Université de Jendouba";"Ecole supérieure des ingénieurs de Medjez El Bab";"Route du Kef km 5 -9070 Medjez El Bab, Tunisie";"(+216) 78 672.467 / (+216) 78 670.542";"(+216) 78 670.471";esim@iresa.agrinet.tn;www.esim.agrinet.tn;"Hassan Kharroubi";
"institution de la recherche et de l'enseignement superieur agricloes";"Université de Jendouba";"Ecole Supérieure d'Agriculture du Kef";"Route Dahmani Boulifa -7119 Le Kef, Tunisie";"(+216) 78 238.238/(+216) 78 238.138";"(+216) 78 238.338";esak@iresa.agrinet.tn;www.esakef.agrinet.tn;"Mongi melki";"Mohamed Snoussi"
"institution de la recherche et de l'enseignement superieur agricloes";"Instituts de Recherche";"Institut National de Recherche en Génie Rural, Eaux et Forêts";"Rue Hédi Elkarray, Elmenzah IV, BP N°10, -2080 Ariana, Tunisie";"(+216) 71 230.039/ (+216) 71 230.039/ (+216)71 719.630/ (+216) 71 709.039";"(+216) 71 717.951";inrgref@iresa.agrinet.tn;www.inrgref.agrinet.tn;"Hammadi Lahbaieb";"Ibtissem Riahi"
"institution de la recherche et de l'enseignement superieur agricloes";"Instituts de Recherche";"Institut National des Sciences et de Technologie de la Mer";"28, rue du 2 mars 1934 -2035 Salammbô, Tunisie";"(+216) 71 730.420 (+216) 71 730.420";": (+216) 71 732.622";saida@instm.rnrt.tn;www.instm.agrinet.tn;"Hechmi Missaoui";"Lotfi Ktifa"
"institution de la recherche et de l'enseignement superieur agricloes";"Centres de Recherche";"Pôle Régional de Recherche et de Développement Agricoles du Nord Est à Mornag :";"Unité des Expériences Agricoles Mornag, Tunisie";"(+216) 79 393.508";"(+216) 79 393.508";azouz.dalel@iresa.agrinet.tn;;"Dalel Azouz";
"institution de la recherche et de l'enseignement superieur agricloes";"Université de Carthage";"Institut National Agronomique de Tunis";"43, Rue Charles Nicole -1082 Cité Mahrajène Le Belvédère Tunis, Tunisie";"(+216) 71 840.270";"(+216) 71 799.391";inat@iresa.agrinet.tn;www.inat.agrinet.tn;"Fayçal BEN JEDDI";"Wassila Maât Allah yaâkoubi"
"institution de la recherche et de l'enseignement superieur agricloes";"Université de Carthage";"Institut Supérieur de Pêche et d'Aquaculture de Bizerte";"Le Rimel Menzel Jamil -7080 -B.P. n° 15, Tunisie";"(+216) 72 490.397 / (+216) 72 440.070";"(+216) 72 490.391";ispabizerte@iresa.agrinet.tn;www.ispab.agrinet.tn;"sami mili";"Abderazzek Jemli"
"institution de la recherche et de l'enseignement superieur agricloes";"Université de Jendouba";"Institut Sylvo-Pastoral de Tabarka";"B.P 345 -8110 Tabarka, Tunisie";"(+216) 78.672.542";"(+216) 78.672.171";isptabarka@iresa.agrinet.tn;www.isptabarka.agrinet.tn;"Lamjed Toumi";
"institution de la recherche et de l'enseignement superieur agricloes";"Instituts de Recherche";"Institut de l'Olivier";"B.P: 1087 -3000 Sfax, Tunisie";"(+216) 74 241.240 (+216) 74 241.240/ (+216) 74 241.589 (+216) 74 241.589";"(+216) 74 241.033";iosfax@iresa.agrinet.tn;www.iosfax.agrinet.tn;"Mohieddine Ksontini";"Monoem Keskess"
"institution de la recherche et de l'enseignement superieur agricloes";"Centres de Recherche";"Centre Régional de Recherche en Agriculture Oasienne de Deguàche à Tozeur";"BP62, km1 Route de Tozeur, Centre Régional de Recherches en Agriculture Oasienne de Degache à Tozeur - 2260 Degache, Tunisie";"(+216) 76 420.085";"(+216) 76 420.085";crrao.degache@iresa.agrinet.tn;www.crraodegache.agrinet.tn;"Ahmed ennamsi";
"institution de la recherche et de l'enseignement superieur agricloes";"Centres de Recherche";"Centre Régional de Recherche en Horticulture et Agriculture Biologique de Chott Mariem à Sousse";"BP.57 -4042 Chott Mariem, Tunisie";"(+216) 73 384.543 (+216) 73 384.543";;crrhab@iresa.agrinet.tn;;"Massaoud Mares";"Othmane Guerfela"
"institution de la recherche et de l'enseignement superieur agricloes";"Centres de Recherche";"Pôle Régional de Recherche et de Développement Agricoles du Nord Ouest semi-aride à El Kef :";"B.P 221 -7100 Le Kef, Tunisie";"(+216) 78 238.012";"(+216) 78 238.012";benyounes.mongi@iresa.agrinet.tn;;"Mongi Ben Younes";
"institution de la recherche et de l'enseignement superieur agricloes";"Université de Carthage";"Ecole Supérieure d'Agriculture de Mograne";"Mograne -Zaghouan -1121, Tunisie";"(+216) 72 660.283 / (+216) 72 660.043";"(+216) 72 660.563";esamog@iresa.agrinet.tn;www.esamograne.agrinet.tn;"Abdallah ben alaya";"Salem Ben Hassen"
"institution de la recherche et de l'enseignement superieur agricloes";"Université de Carthage";"Institut Supérieur des Etudes Préparatoires en Biologie et Géologie à Soukra";"49 avenue 13 août Choutrana II -2036 Soukra, Tunisie";"(+216) 71 948.878 / (+216) 71 948.858 / (+216) 71 765.883";"(+216) 70 948.944";isepbg.soukra@iresa.agrinet.tn;www.isepbgsoukra.agrinet.tn/;"wahiba najjar";"Zohra Charcheri"
"institution de la recherche et de l'enseignement superieur agricloes";"Université de Sousse";"Institut Supérieur Agronomique de Chott Mériem";"B.P. n° 47 -4042 Chott Meriem Sousse, Tunisie";"(+216) 73 327 544/ (+216) 73 327.592";"(+216) 73 327.591";isa.chottmeriem@iresa.agrinet.tn;www.isa-cm.agrinet.tn;"chokri Thabet";"Sami Maâtamri"
"institution de la recherche et de l'enseignement superieur agricloes";"Instituts de Recherche";"Institut de la Recherche Vétérinaire de Tunisie";"20, Rue Djebel Lakhdhar La Rabta -1006 Tunis, Tunisie";"(+216) 71 564.321 / (+216) 71 562.602/ (+216)71 571.489";"(+216) 71 569.692";irvtunis@iresa.agrinet.tn;www.irvt.agrinet.tn;"Nourreddine Ben Chehida";"Faouzi Abaza"
"institution de la recherche et de l'enseignement superieur agricloes";"Centres de Recherche";"Centre Régional des Recherche Agricoles du Centre Ouest à Sidi Bouzid";"BP62, km1 Route de Tozeur, Centre Régional de Recherches en Agriculture Oasienne de Degache à Tozeur - 2260 Degache, Tunisie";"(+216)76 621 950";"(+216)76 621 950";CRRA.sidibouzid@iresa.agrinet.tn;www.crrasidibouzid.agrinet.tn;"Hichem Hajlaoui";
"institution de la recherche et de l'enseignement superieur agricloes";"Université de Carthage";"Ecole Supérieure d'Agriculture de Mateur";"Route de Tabarka -7030 Mateur, Tunisie";"(+216) 72 485.565 / (+216) 72 486.074";"(+216) 72 485.088";esamat@iresa.agrinet.tn;www.esamateur.agrinet.tn;"tibaoui gouider";"Kacem Enime"
"institution de la recherche et de l'enseignement superieur agricloes";"Université de la Manouba";"Ecole Nationale de Médecine Vétérinaire de Sidi Thabet";"Sidi Thabet -2020,Tunisie";"(+216) 71 552.470 / (+216) 71 552.260";"(+216) 71 552.441";enmvt@iresa.agrinet.tn;www.enmv.agrinet.tn;"abdefattah triki";"hammadi ben fraj"
"institution de la recherche et de l'enseignement superieur agricloes";"Instituts de Recherche";"Institut National de la Recherche Agronomique de Tunisie";"Rue hédi Karray -2049 Ariana, Tunisie";"(+216) 71 230.024/ (+216) 71 230.239";"(+216) 71 752.897/ (+216) 71 716.537";inrat@iresa.agrinet.tn;www.inrat.agrinet.tn;"Bouzid Nasraoui";"Lamine Ben Hammadi"
"institution de la recherche et de l'enseignement superieur agricloes";"Instituts de Recherche";"Institut des Régions Arides";"Route du Djorf Km 22.5 Medenine Tunisie";"(+216) 75 633.005";"(+216) 75 633.006";ira.med@ira.rnrt.tn;www.ira.agrinet.tn;"Houssine Khatelli";"Mohamed Ali Ben Abed"
