medecin ,nom_etab,service,journee
Medecin_etab1_11,ETAB1,CHIRURGIE,Lundi
Medecin_etab1_12,ETAB1,CHIRURGIE,Mardi
Medecin_etab1_13,ETAB1,CHIRURGIE,Mercredi
Medecin_etab1_14,ETAB1,CHIRURGIE,Jeudi
Medecin_etab1_15,ETAB1,CHIRURGIE,Vendredi
Medecin_etab1_21,ETAB1,DERMATOLOGIE,Lundi
Medecin_etab1_22,ETAB1,DERMATOLOGIE,Mardi
Medecin_etab1_23,ETAB1,DERMATOLOGIE,Mercredi
Medecin_etab1_24,ETAB1,DERMATOLOGIE,Jeudi
Medecin_etab1_25,ETAB1,DERMATOLOGIE,Vendredi
Medecin_etab1_26,ETAB1,DERMATOLOGIE,Samedi
Medecin_etab1_31,ETAB1,RHUMATOLOGIE,Lundi
Medecin_etab1_32,ETAB1,RHUMATOLOGIE,Mardi
Medecin_etab1_33,ETAB1,RHUMATOLOGIE,Mercredi
Medecin_etab1_34,ETAB1,RHUMATOLOGIE,Jeudi
Medecin_etab1_35,ETAB1,RHUMATOLOGIE,Vendredi
Medecin_etab1_36,ETAB1,RHUMATOLOGIE,Samedi
Medecin_etab1_41,ETAB1,PEDIATRIE,Lundi
Medecin_etab1_42,ETAB1,PEDIATRIE,Mardi
Medecin_etab1_43,ETAB1,PEDIATRIE,Mercredi
Medecin_etab1_44,ETAB1,PEDIATRIE,Jeudi
Medecin_etab1_45,ETAB1,PEDIATRIE,Vendredi
Medecin_etab1_46,ETAB1,PEDIATRIE,Samedi
Medecin_etab1_51,ETAB1,CARDIOLOGIE,Lundi
Medecin_etab1_52,ETAB1,CARDIOLOGIE,Mardi
Medecin_etab1_53,ETAB1,CARDIOLOGIE,Mercredi
Medecin_etab1_54,ETAB1,CARDIOLOGIE,Jeudi
Medecin_etab1_55,ETAB1,CARDIOLOGIE,Vendredi
Medecin_etab1_56,ETAB1,CARDIOLOGIE,Samedi
Medecin_etab1_61,ETAB1,GYNECOLOGIE,Lundi
Medecin_etab1_62,ETAB1,GYNECOLOGIE,Mardi
Medecin_etab1_63,ETAB1,GYNECOLOGIE,Mercredi
Medecin_etab1_64,ETAB1,GYNECOLOGIE,Jeudi
Medecin_etab1_65,ETAB1,GYNECOLOGIE,Vendredi
Medecin_etab1_66,ETAB1,GYNECOLOGIE,Samedi
Medecin_etab1_71,ETAB1,GASTRO ENTEROLOGIE,Lundi
Medecin_etab1_72,ETAB1,GASTRO ENTEROLOGIE,Mardi
Medecin_etab1_73,ETAB1,GASTRO ENTEROLOGIE,Mercredi
Medecin_etab1_74,ETAB1,GASTRO ENTEROLOGIE,Jeudi
Medecin_etab1_75,ETAB1,GASTRO ENTEROLOGIE,Vendredi
Medecin_etab1_76,ETAB1,GASTRO ENTEROLOGIE,Samedi
Medecin_etab1_81,ETAB1,MEDECINE INTERNE,Lundi
Medecin_etab1_82,ETAB1,MEDECINE INTERNE,Mardi
Medecin_etab1_83,ETAB1,MEDECINE INTERNE,Mercredi
Medecin_etab1_84,ETAB1,MEDECINE INTERNE,Jeudi
Medecin_etab1_85,ETAB1,MEDECINE INTERNE,Vendredi
Medecin_etab1_86,ETAB1,MEDECINE INTERNE,Samedi
Medecin_etab1_91,ETAB1,OPHTALMOLOGIE,Lundi
Medecin_etab1_92,ETAB1,OPHTALMOLOGIE,Mardi
Medecin_etab1_93,ETAB1,OPHTALMOLOGIE,Mercredi
