Date;Production de la concession i . en kt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
0;Djebal Douleb;El Borma;Sidi El Iteyem;Ashtart;Sidi Behara;Chaouech Saida;Halk El Menzel;Isis;Birsa;Makhrouga;Debbech;Laarich;El Bibane;Hajeb/Guebiba;Cosmos;Gremda;Oudna;Abir;Ennakhil;D.S.T;M.L.D;Maamoura/Baraka;El Franig/Baguel/Tarfa;Barka/Gherib;Ezzaouia;Yasmine;Maamoura;Zinnia;Sanhar;Bochra;EChouech;Miskar;Oued Zar;Belli;Sidi El Kilani;Rhemoura;Cercina;Jb Grouz;Didon;Sabria;El Menzah;Utique (CO2);Beni Khaled;Chergui;Baraka;Adam;Zelfa ;Robbana ;Cercina Sud;Hasdrubal;Cherouq;Ras El Besh;Nawara;Durra;Bir Ben Tartar;Anaguid;Ghrib;Mazrane;Jinane;Sondes;Benefsej Sud;Mahres;Sidi marzoug
10 / 2006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11 / 2006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12 / 2006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1 / 2007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2 / 2007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3 / 2007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4 / 2007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5 / 2007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6 / 2007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7 / 2007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8 / 2007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9 / 2007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10 / 2007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11 / 2007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12 / 2007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1 / 2008;0;36.82;4.11;41.81;0;2.64;0;0;0;0;0;0;0;27.43;0;3.91;18.65;0;1.2;2.32;8.26;0;6.93;0;4.66;0;0;0.07;0.46;0;0;16.6;19.56;0;5.46;1.86;8.13;0.12;45.32;3.33;0;0;0.7;0;0;71.59;0;0.3;0;0;7;0;0;0;0;0;0;0.77;0;0;0;0;0
2 / 2008;0;35.77;3.98;40.98;0;3.11;0;0;0;0;0;0;0;22.66;0;3.47;14.9;0;0.99;2.1;7.57;0;6.51;0;4.39;0;0;0;0.4;0;0;15.08;18.08;0;5.22;1.94;7.76;0.11;40.89;3;0;0;0.61;0;0;62.37;0;0.27;0;0;12.88;0;0;0;0;0;0;0.64;0;0;0;0;0
3 / 2008;0;38.23;4.2;40.58;0;2.83;0;0;0;0;0;0;1.45;20.11;0;3.69;14.74;0;1.16;2.32;7.92;0;6.95;0;4.42;0;0;0.11;0.39;0;0;15.65;17.87;0;5.41;1.95;8.51;0.05;40.37;3.09;0;0;0.57;0;0;66.98;0;0.24;0;0;13.76;0;0;0;0;0;0;0.05;0;0;0;0;0
4 / 2008;0;35.86;4.12;38.54;0;3.28;0;0;0;0;0;0;3.76;21.65;0;3.34;13.68;0;0.84;2.06;7.33;0;3.69;0;3.74;0;0;0.16;0.38;0;0;7.75;17.87;0;5.15;1.91;7.47;0.15;35.25;2.92;0;0;0.54;0;0;72.2;0;0.21;0;0;18.12;0;0;0;0;0;0;0;0;0;0;0;0
5 / 2008;0;36.97;4.93;38.09;0;3.5;0;0;0;0;0;0;3.59;0.25;0;22.58;15.81;0;0.78;1.63;7.64;0;6.42;0;3.56;0;0;0.18;0.39;0;0;0.57;20.21;0;5.28;3.35;-0.46;1.2;32.17;2.87;0;0;0.52;0;0;76.86;0;0.26;0;0;28.9;0;0;0;0;0;0;-0.6;0;0;0;0.1;0
6 / 2008;0;36.23;4.64;39.58;0;3.09;0;0;0;0;0;0;3.36;38.82;0;-15.73;16.65;0.22;0.56;2.31;8.06;0;7.12;0;3.67;0;0;0.15;0.07;0;0;13.47;20.92;0;5.05;0.36;11.92;2.05;50.54;2.72;0;0;0.43;0;0;61.53;0;0.26;0;0;31.29;0;0;0;0;0;0;0;0;0;0;0.09;0
7 / 2008;0;36.77;5.19;43.89;0;3.56;0;0;0;0;0;0;2.7;23.89;0;3.56;17.35;0.89;0.45;1.77;7.76;0;7.22;0;3.64;0;0;0.07;0;0;0;17.71;20.89;0;5.19;1.98;5.7;2.21;46.74;2.67;0;0;0.39;0;0;65.45;0;0.18;0;0;34.54;0;0;0;0;0;0;0.69;0;0;0;0;0
8 / 2008;0;36.56;4.87;42.95;0;3.79;0;0;0;0;0;0;4.35;25.92;0;3.59;16.43;0;0.37;1.76;7.89;0;7.17;0;4.42;0;0;0.09;0;0;0.03;17.93;21.01;0;4.87;2.46;8.5;2.33;47.26;2.63;0;0;0.46;0.47;0;72.28;0;0.09;0;0;36.51;0;0;0;0;0;0;0.55;0;0;0;0;0
9 / 2008;0;34.81;4.76;39.72;0;3.19;0;0;0;0;0;0;4.74;23.82;0;3.48;15.93;0;0.41;2.36;9.11;0;8.46;0;7.01;0;0;0.04;0.48;0;0.19;17.91;20.42;0;4.86;1.82;7.59;2.21;39.31;2.5;0;0;0.37;0.81;0;65.42;0;0.12;0;0;35.79;0;0;0;0;0;0;0.63;0;0;0;0;0
10 / 2008;0;35.52;4.38;43.95;0;2.58;0;0;0;0;0;0;5.71;22;0;3.54;15.74;0;0.4;1.74;6.76;0;6.97;0;6.37;0;0;0;0.2;0;0.24;17.68;21.01;0;4.81;1.91;5.14;2.36;37.01;2.47;0;0;0.18;0.96;0;65.87;0;0.11;0;0;36.59;0;0;0;0;0;0;0.56;0;0;0;0;0
11 / 2008;0;34.77;4.29;40.75;0;2.71;0;0;0;0;0;0;7.09;24.53;0;3.22;16.32;0;0.35;1.75;6.22;0;5.76;0;5.22;0;0;0;0.52;0;0.25;14.92;19.79;0;4.6;3.31;-1.36;2.38;47;2.16;0;0;0.31;0.94;0;73.34;0;0.11;0;0;34.93;0;0;0;0;0;0;0.4;0;0;0;-0.1;0
12 / 2008;0;36.81;4.35;42.8;0;3.97;0;0;0;0;0;0;6.27;23.27;0;3.38;15.6;0.04;0.43;1.96;8.99;0;11.45;0;4.74;0;0;0;0.65;0;0.31;18.18;24.03;0;4.93;0.33;10.19;2.53;39.17;1.84;0;0;0.08;0.89;0;71.76;0;0.12;0;0;36.91;0;0;0;0;0;0;0.38;0;0;0;0.1;0
1 / 2009;0;36.26;3.61;42.46;0;4.02;0;0;0;0;0;0;4.22;21.5;0;3.37;15.17;0.74;0.3;2.03;10.81;0;11.73;0;5.48;0;0;0;0.63;0;0.32;17.73;23.99;0;4.92;1.98;4.26;2.54;32.48;1.85;0;0;0.51;0.86;0;71.43;0;0.09;0;0;39.84;0;0;0;0;0;0;0.57;0;0;0;0;0
2 / 2009;0;32.23;2.38;34.84;0;2.96;0;0;0;0;0;0;2.4;16.71;0;3.04;14.49;0.45;0.06;1.88;10.79;0;11.01;0;5.13;0;0;0;0.29;0;0.29;14.95;23.06;0;4.42;1.73;5.61;2.21;32.33;1.67;0;0;0.08;1.09;0;57.93;0;0.08;0;0;36.57;0;0;0;0;0;0;0.48;0;0;0;0;0
3 / 2009;0;39.01;4.18;36.18;0;2.17;0;0;0;0;0;0;3.48;20;0;3.41;14.93;0.01;0.05;2.08;11.57;0;10.86;0;5.87;0;0;0;0.37;0;0.34;16.07;25.12;0;4.65;0.74;2.32;2.17;30.14;1.93;0;0;0.38;1.32;0;58.17;0;0.06;0;0;39.12;0;0;0;0.39;0;0;0.5;0;0;0;0;0
4 / 2009;0;37.44;4.04;34.39;0;1.87;0;0;0;0;0;0;4.37;21.02;0;3.03;14.3;0.01;0;2.08;10.9;0;9.53;0;5.27;0;0;0;0.51;0;0.35;17.48;23.49;0;4.49;0.64;5.76;1.91;32.71;2.16;0;0;0.37;1.1;0;54.85;0;0.05;0;0;36.45;0;0;0;0.89;0;0;0.47;0;0;0;0;0
5 / 2009;0;37.36;4.05;36.37;0;2.43;0;0;0;0;0;0;4.67;22.43;0;3.05;13.94;0;0;2.27;10.3;0;9.71;0;5.13;0;0;0;0.14;0;0.34;14.83;23.89;0;4.58;0;5.24;1.86;33.21;2.14;0;0;0.22;1.36;0;51.93;0;0.01;0;0;37.31;0;0;0;0.7;0;0;0.47;0;0;0;0;0
6 / 2009;0;36.18;4.28;34.12;0;3.16;0;0;0;0;0;0;2.84;19.78;0;3.43;13.31;0;0;2.08;9.14;0;7.9;0;4.55;0;0;0;0.44;0;0.34;15.23;22.97;0;4.43;0;3.88;1.73;33.61;1.94;0;0;0.46;1.42;0;47.42;0;0;0;0;37.12;0;0;0;0.7;0;0;0.43;0;0;0;0;0
7 / 2009;0;36.42;4.39;28.26;0;4.33;0;0;0;0;0;0;3.47;19.79;0;3.43;14.24;0;0;2.12;9.37;0;9.53;0;4.34;0;0;0;0.46;0;0.36;12.33;25.84;0;4.6;0;5.13;1.72;47.52;2;0;0;0.38;1.15;0;48.12;0;0;0;0;37.88;0;0;0;0.92;0;0;0.44;0;0;0;0.09;0
8 / 2009;0;35.9;4.14;34.73;0;4.24;0;0;0;0;0;0;0.74;15.58;0;3.49;14.12;0;0;2.06;9.26;0;9.01;0;3.83;0;0;0;0.48;0;0.39;16.67;26.71;0;4.09;0;4.15;1.64;39.85;2.03;0;0;0.22;1.46;0;44.27;0;0;0;0;36.76;0;0;0;0.86;0;0;0.28;0;0;0;-0.01;0
9 / 2009;0;35.08;3.25;35.02;0;3.31;0;0;0;0;0;0;0.7;17.12;0;3.04;12.85;0;0;1.86;8.65;0;8.46;0;3.87;0;0;0;0.43;0;0.37;15.98;28.82;0;4.44;0;5.16;1.56;37.71;1.94;0;0;0.66;1.28;0;41.69;0;0;0;0;34.98;0;0;0;0.67;0;0;0.14;0;0;0;0.05;0
10 / 2009;0;37.78;3.6;36.87;0;4.62;0;0;0;0;0;0;1.3;18.27;0;3.45;12.53;0;-0.05;2.17;8.8;0;6.2;0;4.1;0;0;0;0.46;0;0.39;16.55;28.72;0;4.68;0;4.81;1.59;36.41;2.09;0;0;0.71;1.43;0;41.27;0;0;0;0;34.87;0;0;0;0.86;0;0;0.52;0;0;0;0.1;0
11 / 2009;0;37.09;4.31;34.77;0;4.43;0;0;0;0;0;0;1.02;20.36;0;3.44;12.01;0.01;0;2.13;9.18;0;10.6;0;3.8;0;0;0;0.45;0;0.36;16.17;26.32;0;4.52;0;4.64;1.54;32.07;1.96;0;0;0.48;1.41;0;38.89;0;0;0;0;32.56;0;0;0;0.77;0;0;0.44;0;0;0;0;0
12 / 2009;0;37;4.37;32.45;0;4.37;0;0;0;0;0;0;1.27;19.38;0;3.11;9.98;0;0;2.08;9.42;0;6.05;0;3.76;0;1.7;0;0.45;0;0.26;11.51;30.57;0;4.42;0;4.63;1.45;28.8;2.01;0;0;0.08;1.47;1.7;50.69;0;0;0;3.35;32.3;0;0;0;0.76;0;0;0.43;0;0;0;0;0
1 / 2010;0;37.28;4.35;34.6;0;4.14;0;0;0;0;0;0;0.55;17.92;0;3.46;12.07;0;0;2.02;8.84;0;9.03;0;3.56;0;3.19;0;0.26;0;0.17;17.43;31.12;0;4.57;0;6.44;1.46;25.5;1.95;0;0;0;1.3;0;49.62;0;0;0;15.96;32.2;0;0;0;0.57;0;0;0.39;0;0;0;0;0
2 / 2010;0;32.8;4.16;31.31;0;3.67;0;0;0;0;0;0;0;16.1;0;2.75;10.98;0;0;2.02;7.87;0;3.64;0;2.7;0;8.11;0;0.57;0;-0.13;15.09;27.61;0;4.08;0;5.73;1.3;18.9;1.59;0;0;0;1.25;0;41.35;0;0;0;24.73;28.02;0;0;0;0.54;0;0;0.35;0;0;0;0;0
3 / 2010;0;35.42;3.78;34.99;0;3.58;0;0;0;0;0;0;0;15.72;0;3.5;10.85;0;0;2.21;7.99;0;6.73;0;2.27;0;10.18;0;0.48;0;0.47;16.84;29.71;0;4.6;0;3.59;1.43;18.89;1.69;0;0;0.36;1.27;0;41.21;0;0;0;34.34;29.68;0;0;0;0.67;0;0;0.4;0;0;0;0;0
4 / 2010;0;35.5;3.71;36.1;0;3.61;0;0;0;0;0;0;0;14.26;0;3.29;11.1;0;0;1.75;9.3;0;7.6;0;2.47;0;12.52;0;0.69;0;0.49;15.64;27.56;0;3.75;0;0;2.81;18.71;1.77;0;0;0.64;1.18;0;40.82;0;0;0;32.97;27.1;0;0;0;0;0;0;0.86;0;0;0;0;0
5 / 2010;0;34.23;5.11;40.87;0;5.17;0;0;0;0;0;0;0.03;14.16;0;3.14;10.23;0;0;2.73;8.09;0;6.44;0;1.87;0;13.69;0;0.09;0;0.31;15.54;27.65;0;4.96;0;0;5.78;19.11;1.44;0;0;0.24;1.26;4.21;35.27;0;0;0;17.7;27.13;0;0;0;1.18;0;0;-0.11;0;0;0;0.42;0
6 / 2010;0;35.45;2.6;35.84;0;5.17;0;0;0;0;0;0;0;14.54;0;2.94;10.23;0;0;2.42;7.58;0;6.68;0;2.2;0;9.37;0;0.38;0;0.28;14.83;24.4;0;4.33;0;0;5.07;17.92;1.51;0;0;0.22;1.31;16.55;32.95;0;0;0;33.44;23.87;0;0;0;0.51;0;0;0.32;0;0;0;0;0
7 / 2010;0;35.7;3.9;36.78;0;6.45;0;0;0;0;0;0;0;15.15;0;3.01;10.45;0;0;2.34;7.61;0;6.46;0;2.17;0;12.38;0;0.38;0;0.29;14.61;24.44;0;4.44;0;0;4.64;17.92;1.54;0;0;0.12;1.17;17.56;31.35;0;0;0;39.96;22.45;0;0;0;0.47;0;0;0.34;0;0;0;0;0
8 / 2010;0;36.49;3.29;30.91;0;6.12;0;0;0;0;0;0;0;11.82;0;2.94;9.85;0;0;2.43;5.41;0;6.12;0;2.45;0;10.24;0;0.38;0;0.52;12.7;23.15;0;4.34;0;0.11;3.93;16.88;1.54;0;0;0.1;1.45;27.5;30.72;0;0;0;41.7;28.44;0;0;0;0.14;0;0;0.31;0;0;0;0;0
9 / 2010;0;36.97;3.05;37.84;0;5.94;0;0;0;0;0;0;0.21;8.68;0;2.62;9.6;0;0;2.28;4.53;0;5.8;0;2.25;0;9.17;0;0.35;0;0.43;15.11;21.94;0;4.17;0;4.53;3.14;14.59;1.51;0;0;0.27;1.29;23.69;31.51;0;0;0;28.08;28.42;0;0;0;0.35;0;0;0.29;0;0;0;0;0
10 / 2010;0;35.02;3.5;38.77;0;6.51;0;0;0;0;0;0;0.6;7.66;0;3.17;9.78;0;0;2.64;4.43;0;5.91;0;2.11;0;8.61;0;0.1;0;0.41;14.64;24.11;0;4.27;0;3.53;2.88;14.68;1.49;0;0;0.24;1.49;22.9;38.03;0;0;0;0;28.43;0;0;0;0.44;0;0;0.28;0;0;0;0;0
11 / 2010;0;31.17;3.32;33.44;0;5.56;0;0;0;0;0;0;0.52;8.62;0;2.58;8.87;0;0;2.45;5.14;0;5.49;0;2.01;0;8;0;0.18;0;0.35;13.92;23.12;0;4.09;0;8.42;2.95;14.3;1.31;0;0;0.22;1.43;21.24;35.9;0;0;0;0;25.85;0;0;0;0.38;0;0;0.26;0;0;0;0;0
12 / 2010;0;32.08;3.63;29.46;0;3.37;0;0;0;0;0;0;0.29;8.58;0;3.05;8.85;0;0;2.46;4.94;0;5.53;0;1.88;0;8.05;0;0.33;0;0.44;15.33;23.24;0;3.72;0;5.78;3.31;13.74;1.33;0;0;0.22;1.55;19.05;35.9;0;0;0;0;26.98;0;0;0;0.36;0;0;0.25;0;0;0;0;0
1 / 2011;0;31.83;3.24;35.04;0;3.23;0;0;0;0;0;0;0.19;6.62;0;2.88;8.51;0;0;1.52;4.73;0;5.29;0;1.71;0;6.62;0;0.34;0;0.34;14.72;23.93;0;2.15;0;4.15;3.19;14.17;1.31;0;0;0.22;1.33;14;35.93;0;0;0;0;27.84;0;0;0;0.35;0;0;0.21;0;0;0;0;0
2 / 2011;0;27.06;3;28.78;0;3.56;0;0;0;0;0;0;0.4;10;0;2.72;7.47;0;0;2.23;5.19;0;4.63;0;1.62;0;6.77;0;0.33;0;0.39;12.89;20.72;0;1.88;0;2.89;2.82;12.6;1.02;0;0;0.21;0.98;15.17;31.72;0;0;0;0;34.14;0;0;0;0.31;0;0;0.24;0;0;0;0;0
3 / 2011;0;30.45;4.77;31.87;0;3.79;0;0;0;0;0;0;0.44;21.39;0;2.51;7.63;0;0;1.84;6.41;0;4.42;0;1.61;0;7.1;0;0.35;0;0.43;14.7;20.48;0;2.06;0;0;3.07;9.91;1.3;0;0;0.23;1.51;15.82;34.67;0;0;0;16.51;38.01;0;0;0;0.32;0;0;0.27;0;0;0;0;0
4 / 2011;0;29.02;1.76;33.18;0;3.32;0;0;0;0;0;0;0.41;16.68;0;1.64;8.28;0;0;2.26;6.05;0;2.04;0;1.79;0;6.64;0;0.32;0;0.43;13.83;16.41;0;2.12;0;0;2.95;12.24;1.24;0;0;0.22;1.14;13.65;33.09;0;0;0;34.16;35.79;0;0;0;0.17;0;0;0.27;0;0;0;0;0
5 / 2011;0;29.7;2.97;33.56;0;3.29;0;0;0;0;0;0;0.51;19.87;0;2.96;8.22;0;0;2.69;6.81;0;3.33;0;2.5;0;6.57;0;0.28;0;0.51;12.68;17.43;0;2.24;0;3.08;3;12.11;1.24;0;0;0.23;1.46;13.01;32.36;0;0;0;43.07;25.98;0;0;0;0.16;0;0;0.25;0;0;0;0;0
6 / 2011;0;31.37;3.51;29.04;0;2.88;0;0;0;0;0;0;0.36;18.63;0;2.8;7.45;0;0;2.42;6.84;0;1.54;0;3.82;0;6.94;0;0.31;0;0.31;13.54;16.57;0;2.13;0;2.02;2.83;11.67;1.22;0;0;0;0.82;10.4;30.21;0;0;0;42.11;20.83;0;0;0;6.88;0;0;0.15;0;0;0;0;0
7 / 2011;0;30.08;3.81;25.2;0.14;2.51;0;0;0;0;0;0;0.41;1.92;0;2.9;7.86;0;0;2.48;6.98;0;1.63;0;3.26;0;7.28;0;0.32;0;0.5;13.59;17.28;0;2.12;0.05;0.03;2.85;12.41;1.27;0;0;0.02;1.46;6.72;29.52;0;0;0;40.03;27.14;0;0;1.5;6.66;0;0;-1.02;0;0;0;0;0
