Bénéficiaire (Associations) / Année,subvention 2021,subvention 2022,subvention 2023,subvention 2024
Union culturel,"3000,000","10000,000",,
 Femmes creatrices arabes à Sousse,,"14000,000","15000,000","15000,000"
Les jeunes du théâtre,,,"5000,000",
 Sciences et patrimoine,"5000,000",,,"4000,000"
Action pour le développement culturel de l'Institut supérieur de musique,"13000,000",,,
Ichraq pour la culture et les arts,,"7000,000","13000,000","9500,000"
Les amis de la maison de culture msaken,"25000,000","22000,000","25000,000",
Les amis de la bibliothèque et du livre à Sousse,"80000,000","40000,000","45000,000",
Festival international de théâtre de l'enfance Akouda,"8000,000","6500,000","6500,000",
Festival International de l'Olivier Kalâa Kebira,,"6000,000",,
  Awtar Art à kalâa sghira,"20000,000","30000,000","20000,000",
Créativité artistique d'Enfidha,"25000,000","30000,000","25000,000",
Rawafed pour les Arts et Cultures à Sousse,"4000,000",,,
Perle du sahel culturel Maghrébin,,"4000,000",,
Muhammad Al-Zorgati pour le théâtre et l'art de la transpiration,"9500,000",,,"5000,000"
Association du théâtre populaire,,"4000,000","4000,000",
Association Méditerranéenne des Pulvérisations,"4000,000","4500,000","5000,000","5750,000"
"Association tunisienne anglaise pour l'éducation, le tourisme et la culture","3500,000","3000,000", ,
Association Farha pour l'activation et le divertissement familial,,,"2000,000",
"Association tunisienne d'éducation, de science et de culture pour les aveugles",,,"2000,000",
L'Association locale pour la promotion des handicapés à Qalaa al-Kubra,,,,"3000,000"
Société Tunisienne des Arts Visuels,,,"5000,000",
Association Tunisienne des Beaux-Arts,"12000,000 ",,"15400,000",
Association des Amis d'Errachidia à Sousse,,"15000,000 ",,
Association des sciences et du patrimoine à Qalaa al-Kubra,,"4000,000 ",,
