"Gouvernorat","Délégation","Nombre de pharmacies"
"ARIANA","CITE ETTADHAMEN","11"
"ARIANA","COMMUNE ARIANA","37"
"ARIANA","EL MNIHLA","11"
"ARIANA","KALAAT ANDALOUS","4"
"ARIANA","RAOUED","23"
"ARIANA","SIDI THABET","4"
"ARIANA","SOUKRA","23"
"BEJA","AMDOUN","1"
"BEJA","BEJA NORD","10"
"BEJA","BEJA SUD","6"
"BEJA","GOUBELLAT","1"
"BEJA","MEJEZ EL BAB","6"
"BEJA","NEFZA","4"
"BEJA","TEBOURSOUK","2"
"BEJA","TESTOUR","4"
"BEJA","THIBAR","1"
"BEN AROUS","BEN AROUS","10"
"BEN AROUS","BOUMHEL BASSATINE","8"
"BEN AROUS","EL MOUROUJ","24"
"BEN AROUS","EZZAHRA","10"
"BEN AROUS","FOUCHANA","15"
"BEN AROUS","HAMMAM CHATT","5"
"BEN AROUS","HAMMAM LIF","13"
"BEN AROUS","M'HAMDIA","10"
"BEN AROUS","MEDINA JEDIDA","14"
"BEN AROUS","MEGRINE","8"
"BEN AROUS","MORNAG","9"
"BEN AROUS","RADES","20"
"BIZERTE","BIZERTE NORD","24"
"BIZERTE","BIZERTE SUD","5"
"BIZERTE","EL ALIA","5"
"BIZERTE","GHAR EL MELH","3"
"BIZERTE","GHEZALA","2"
"BIZERTE","JARZOUNA","2"
"BIZERTE","JOUMINE","2"
"BIZERTE","MATEUR","8"
"BIZERTE","MENZEL BOURGUIBA","17"
"BIZERTE","MENZEL JEMIL","7"
"BIZERTE","RAS JEBEL","8"
"BIZERTE","SEJNANE","5"
"BIZERTE","TINJA","3"
"BIZERTE","UTIQUE","1"
"GABES","DKHILET TOUJANE","1"
"GABES","EL HAMMA","6"
"GABES","EL HAMMA OUEST","2"
"GABES","GABES MEDINA (EST)","20"
"GABES","GABES OUEST","6"
"GABES","GABES SUD","8"
"GABES","GHANNOUCH","4"
"GABES","MARETH","7"
"GABES","MATMATA","1"
"GABES","MATMATA JADIDA","1"
"GABES","MENZEL HABIB","1"
"GABES","METOUIA","2"
"GABES","OUEDHREF","2"
"GAFSA","BEL KHIR","1"
"GAFSA","EL GUETAR","1"
"GAFSA","EL KSAR","2"
"GAFSA","GAFSA NORD","1"
"GAFSA","GAFSA SUD","19"
"GAFSA","M'DHILLA","2"
"GAFSA","METLAOUI","5"
"GAFSA","OUM LARAIES","3"
"GAFSA","REDEYEF","3"
"GAFSA","SENED","3"
"GAFSA","SIDI BOUBAKER","1"
"GAFSA","SIDI YAICH","1"
"GAFSA","ZANOUCH","1"
"JENDOUBA","AIN DRAHEM","2"
"JENDOUBA","BALTA BOUAOUAN","3"
"JENDOUBA","BOUSALEM","6"
"JENDOUBA","FERNANA","3"
"JENDOUBA","GHARDIMAOU","5"
"JENDOUBA","JENDOUBA","13"
"JENDOUBA","JENDOUBA NORD","4"
"JENDOUBA","OUED MELIZ","1"
"JENDOUBA","TABARKA","9"
"KAIROUAN","AIN JLOULA","1"
"KAIROUAN","CHEBIKA","3"
"KAIROUAN","CHERARDA","3"
"KAIROUAN","EL ALA","2"
"KAIROUAN","HAFFOUZ","4"
"KAIROUAN","HAJEB ELAYOUN","2"
"KAIROUAN","KAIROUAN NORD","21"
"KAIROUAN","KAIROUAN SUD","13"
"KAIROUAN","MENZEL MHIRI","1"
"KAIROUAN","OUESLATIA","2"
"KAIROUAN","SBIKHA","5"
"KAIROUAN","SIDI ALI BEN NASRALLAH","2"
"KAIROUAN","SIDI AMOR BOUHAJLA","6"
"KASSERINE","EL AYOUN","1"
"KASSERINE","EZZOUHOUR","3"
"KASSERINE","FERIANA","5"
"KASSERINE","FOUSSANA","3"
"KASSERINE","HAIDRA","1"
"KASSERINE","HASSI FERID","1"
"KASSERINE","JEDLIANE","1"
"KASSERINE","KASSERINE NORD","14"
"KASSERINE","KASSERINE SUD","1"
"KASSERINE","MAJEL BEL ABBES","2"
"KASSERINE","SBEITLA","7"
"KASSERINE","SBIBA","3"
"KASSERINE","THALA","3"
"KEBILI","DOUZ NORD","3"
"KEBILI","DOUZ SUD","2"
"KEBILI","FAOUAR","2"
"KEBILI","KEBILI NORD","4"
"KEBILI","KEBILI SUD","4"
"KEBILI","RJIM MAATOUG","1"
"KEBILI","SOUK LAHAD","2"
"LE KEF","DAHMANI","3"
"LE KEF","JERISSA","1"
"LE KEF","KALAAT KHASBA","1"
"LE KEF","KALAAT SENANE","2"
"LE KEF","KSOUR","1"
"LE KEF","LE KEF EST","9"
"LE KEF","LE KEF OUEST","3"
"LE KEF","NEBEUR","3"
"LE KEF","SAKIET SIDI YOUSSEF","1"
