Nom_Association,gov_name_a,gov_id,Subvention
جمعيّة ثقافة فنّ السطمبالي,تونس,11,5000
اتّحاد الفنّانين التشكيليين,تونس,11,25000
جمعية دار الموسيقي,تونس,11,40500
جمعية الفن التشكيلي التونسي المعاصر,تونس,11,5000
جمعية احبك يا وطني للثقافة والتنمية,تونس,11,5000
جمعية قدماء المعهد العالي للتنشيط الثقافي,تونس,11,4000
جمعية اولاد احمد تونس الشاعرة,تونس,11,6000
 جمعيّة اتحاد الكتاب التونسيين,تونس,11,65000
جمعية ناس الفن,تونس,11,40000
جمعية المعهد الرشيدي للموسيقى التونسيّة,تونس,11,120000
الجمعية التونسة لفنون الخط,تونس,11,2000
جمعية الراقصون المواطنون,تونس,11,3000
جمعية ابصار لثقافة ذوي الاعاقة البصرية,تونس,11,12000
الجامعة التونسية للسينمائيين الهواة ,تونس,11,84000
جمعية مهرجان المدينة تونس,تونس,11,30000
الرباطة الوطنية للقران الكريم,تونس,11,2000
جمعية مهرجان البحر الابيض المتوسط حلق الوادي,تونس,11,15000
جمعية تنمية الموسيقى و الثقافات الالكترونية ايكو الكتريك,تونس,11,5000
جمعية ثقافة فنّ السطمبالي,تونس,11,7000
جمعية مؤسّسة رستم,تونس,11,10000
النادي الثقافي ابو القاسم الشابي ,تونس,11,29000
الرّابطة التونسيّة للفنون التشكيليّة,تونس,11,12000
جمعيّة فنون للتنشيط الثقافي والمسرحي,أريانة,12,2000
جمعية مكتريس للفروسية والمحافظة على التراث,أريانة,12,3000
الجمعية التونسية للمحافظة على الالعاب والرياضات التراثية,أريانة,12,5000
الجمعية الثقافية لبلدية اريانة,أريانة,12,10000
جمعيّة التّظاهرات الثقافيّة بفوشانة,بن عروس,13,3000
جمعية فرحة للفنون الركحية,بن عروس,13,3000
جمعية بدر للموسيقى والفنّ,بن عروس,13,2000
جمعية احباء المكتبة والكتاب بن عروس,بن عروس,13,7000
جمعيّة ستار للفنون,بن عروس,13,2000
جمعية احباء فضاء دار بوعصيدة,بن عروس,13,15000
جمعية ثقافة للجميع ببن عروس,بن عروس,13,3000
جمعيّة الابداع المسرحي,منوبة,14,2500
جمعيّة محمد عبد العزيز العقربي للمسرح,منوبة,14,11000
جمعية الفنانات المغاربيات,منوبة,14,6000
الجمعية التونسية لمساعدة الصم,منوبة,14,3000
الجمعية الثقافية للموسيقى والفنون,منوبة,14,2000
جمعيّة احباء المكتبة والكتاب بقربة,نابل,15,12000
جمعية المهرجان الوطني للموسيقيين الهواة منزل تميم,نابل,15,40000
جمعية ارت اتيتود,نابل,15,10000
جمعية منارة الادب بقليبية,نابل,15,6000
الجمعية التونسية للفنون والوساطة,نابل,15,3000
جمعية مهرجان السّاف بالهوارية,نابل,15,7000
جمعية فسيفساء للموسيقى والفنون ,نابل,15,5000
جمعية صيانة مدينة الحمامات,نابل,15,3000
جمعية مهرجان نيابوليس لمسرح الطفل,نابل,15,25000
جمعية مهرجان قربة لمسرح الهواة,نابل,15,40000
جمعية التنشيط والمهرجانات بنابل,نابل,15,15000
جمعية قنطرة للتواصل والابداع الفنّي,نابل,15,5000
جمعية منتدى هرمايا بالهواريّة,نابل,15,5000
جمعية صالون الربيع الثقافي بالمنستير,نابل,15,2000
جمعية مهرجان النسري بزغوان,زغوان,16,3000
جمعية فرقة مدينة بنزرت,بنزرت,17,3000
جمعية ماطرس لمهرجان مسرح الطفل بماطر,بنزرت,17,4000
جمعية النهضة التمثيلية,بنزرت,17,7000
جمعية مهرجان بنزرت الدولي,بنزرت,17,100000
جمعية مهرجان الصداقة بالماتلين,بنزرت,17,4000
جمعية المهرجان الثقافي منزل بورقيبة,بنزرت,17,3000
جمعية محمد الحيدري للمسرح,باجة,21,5000
جمعية مهرجان دقة الصيفي,باجة,21,70000
جمعية مهرجان الربيع العربي للاداب والفنون,جندوبة,22,10000
جمعية شباب و افاق,جندوبة,22,5000
جمعية حماية البيئة والتنمية المستديمة بغار الدماء,جندوبة,22,2000
 جمعيّـة مكرمة التنموية الثقافية ,جندوبة,22,3000
الجمعية المغاربية للفكر والابداع,جندوبة,22,9000
جمعية اوتار,جندوبة,22,6000
جمعية الفنون والمهرجانات بطبرقة,جندوبة,22,60000
جمعية صيانة وانماء مدينة الكاف,الكاف,23,7000
جمعية رقش للثقافة والفنون والتصميم,سليانة,24,9000
الجمعية التونسية لالعاب الفروسية سيدي بورويس,سليانة,24,5000
جمعية مهرجان المدينة بسليانة,سليانة,24,10000
جمعية المهرجان الصيفي بسليانة,سليانة,24,35000
جمعية مهرجان السنابل الذهبية بالكريب,سليانة,24,7500
جمعية مهرجان برقو الصيفي,سليانة,24,7500
جمعية مهرجان سيدي حمادة للثقافة واحياء التراث,سليانة,24,10000
جمعية مهرجان مكتريس الصيفي,سليانة,24,10000
جمعية مهرجان سيدي بورويس للثقافة واحياء التراث,سليانة,24,5000
جمعية حماية التراث ببرّ سليانة,سليانة,24,10000
جمعيّة الانس الموسيقيّة,سوسة,31,2000
جمعية الاتحاد الثقافي سيدي يحي,سوسة,31,3000
جمعية تنمية وتراث بوفيشة,سوسة,31,2000
جمعية اشراق للثقافة والفنون,سوسة,31,2000
جمعية النجم المسرحي,سوسة,31,3000
جمعية مهرجان اوسو,سوسة,31,150000
جمعية علوم و تراث,سوسة,31,3000
جمعية المهرجان الدولي للزيتونة بالقلعة الكبرى,سوسة,31,10000
جمعيّة صيانة مدينة لمطة,المنستير,32,18000
جمعية الفنون الجميلة بالمنستير,المنستير,32,7000
جمعية ماجورات قصر هلال,المنستير,32,5000
جمعية الشباب للموسيقى العربية,المنستير,32,6500
جمعية المهرجان الوطني قصيبة المديوني,المنستير,32,5000
جمعية المتوسطيّة للفنون التشكيلية المعاصرة,المنستير,32,7000
جمعية صالون الربيع الثقافي بالمنستير,المنستير,32,2000
جمعية نحن نحب الجم,المهدية,33,10000
جمعية الجم السياحة الثقافية,المهدية,33,5000
جمعية مهرجان ليالي المهدية,المهدية,33,30000
جمعية الطفل والابداع بالشابة,المهدية,33,5000
جمعية مهرجان الجم الدولي للموسيقى السمفونية,المهدية,33,110000
جمعية مهرجان عيد البحر بالمهدية,المهدية,33,3000
جمعية مهرجان قصور الساف سلقطة,المهدية,33,8000
جمعية المهرجان الدولي للفنون التشكيلية بالمحرس,صفاقس,34,50000
جمعية احباء الفنون التشكيلية برج القلال,صفاقس,34,6000
جمعية مهرجان عقارب للفروسيّة,صفاقس,34,4000
جمعيّة القراطن للتنمية المستدامة والثقافة,صفاقس,34,30000
جمعية منتدى صفاقس للفنون والثقافات,صفاقس,34,15000
الجمعية العربية للابداع والتجديد الثقافي,القيروان,41,3000
جمعية مهرجان عيد الصوف بحاجب العيون,القيروان,41,5000
جمعية فرسان المسرح ببوحجلة,القيروان,41,20000
