   ;ENTREPRISE;CODE_SEC;VILLE_SIEGE;ADRESSE;TEL;FAX
1474;SOCIETE FERDAOUS ALU;ID;ARIANA;Rue Mongi Slim BP 127;71 221 179;71 581 629
1475;SOCIETE FOL.BIS;ID;ARIANA;6 & 8 rue Abdellah ibn Abi Bakr Village Essahli SOUKRA;70 681 911;70 681 970
1476;SOCIETE IMPRIMTEC;ID;ARIANA;33 Rue Amesterdam Borj Louzir;71 691 709;71 691 710
1477;SOCIETE KAMMOUN AMINA - SOGEDES;ID;ARIANA;Rue de l'or La Soukra 2036;70 837 635;71 940 616
1478;SOCIETE LA FINITION;ID;ARIANA;CitÃ© ettahrir;71863813;71863813
1479;SOCIETE LA TUNISIENNE D ALUMINIUM;ID;ARIANA;Rue Jabal Chaanbi Ariana;71 708 180;71 708 660
1480;SOCIETE MAGHREB INDUSTRIES PLASTIQUES - MAGRIPLAST;ID;ARIANA;17 Rue de l'artisanat ZI La Charguia  BP 62;71 719 322/70839022;70 836 612
1481;SOCIETE MEJRI RIDHA;ID;ARIANA;Route de Bizerte Km 4 Rue 212 M'nihla;98 532 573/71 555 82;71 555 827/70563821
1482;SOCIETE NOVAPLAS;ID;ARIANA;Rue des métaux N°16;71 713 651;71 702 322
1483;SOCIETE PACKAGING ART;ID;ARIANA;Rue Hajnaa N°5 Route Raoued cité Essaada El Ghazela;98 306 375;
1484;SOCIETE PERFECTA;ID;ARIANA;4, Rue Ennouairi La Soukra;71 865 290;71 945 101
1485;SOCIETE PLAC'ART;ID;ARIANA;65, Avenue Habib Bourguiba, Ariana;71705590;71716279
1486;SOCIETE PLYMOUTH TUNISIE;ID;ARIANA;9 RUE DE JERUSALEM TUNIS;71939743;71939740
1487;SOCIETE PODIUM EXPO;ID;ARIANA;52 Sidi Salah Chotrana 1;71 945 100;71 945 111
1488;SOCIETE POLYCOQ TUNISIE;ID;ARIANA;32 Avenue Dar Fadhal La Soukra;71 765 461;71 759 976
1489;SOCIETE POLYJUMBO;ID;ARIANA;32 Avenue Dar Fadhal la Soukra;71 765 461/963;71 759 976
1490;SOCIETE SELLAMI SAMI - DECOSTRASS;ID;ARIANA;Rue Houcine Bouzaiene N° 10;71 717 285;71 717 285
1491;SOCIETE SORAN SIGNALETIQUE;ID;ARIANA;3 rue el bassatine la soukra;71 868 900;71 868 890
1492;SOCIETE SOTEFI;ID;ARIANA;Impasse de l'UMA N° 5 La Soukra;71 759 299/70681399;71 863 230/70688775
1493;SOCIETE SOTRAPAP;ID;ARIANA;4 Rue Elhadeik;71 723 413;71 723 413
1494;SOCIETE SPID TUNIS;ID;ARIANA;104, Avenue UMA;71 765 699;71 869 602
1495;SOCIETE STYLE DE VIE;ID;ARIANA;70 Avenue Fatouma Bourguiba;71 945 455;71 941 690
1496;SOCIETE SUNFRESH;ID;ARIANA;21 Rue de Tunis cité ennour;71 716 967/20518111;71 717 038
1497;SOCIETE TUKATEC;ID;ARIANA;104, Rue Jaafar;71 856 890;71 856 926
1498;SOCIETE TUNISIENNE DE FABRICATION DE FILTRES POUR CIGARETTES - SMOKFIL;ID;ARIANA;Rue des entrepreneurs Z I Charguia II;71 941 520;71 940 607
1499;SOCIETE TUNISIENNE DE MENUISERIE - STM;ID;ARIANA;6 Rue Béchir Safouane Soukra;70 947 020;70 947 027
1500;SOCIETE TUNISIENNE D'EDITION ET D'ART GRAPHIQUE- STEAG;ID;ARIANA;RUE 8601 N°40 ZI CHARGUIA 1;71788606;71787774
1501;SOCIETE TUNISIENNE DES ARTS GRAPHIQUES-STAG;ID;ARIANA;19 Rue de l'usine Z.I Charguia II BP 29;71940316;71940211
1502;SOTUMAP;ID;ARIANA;13 Bis Av des Etats Unis d'amérique;71 545 688;71 546 151
1503;STE ART IMPRESSION SADIM;ID;ARIANA;11 Rue Houcine Bouzaiene;71 714 671;71 716 989
1504;STE ARTICAD;ID;ARIANA;29 Rue Cheikh Mohamed M'HIRI Ennasr 1;71 555 720;71 555 714
1505;STE IMMAGICA;ID;ARIANA;47 Rue 8603 ZI La Charguia 1 -Tunis;71773145;71770442
1506;STERS;ID;ARIANA;21 Rue des Métaux ZI Soukra;71 940 994;71 940 994
1507;STUDIO DESIGN;ID;ARIANA;16 Rue Madinet El Anbar;71 864 530;71 864 531
1508;SUPMESSAGES;ID;ARIANA;;__ ___ ___;__ ___ ___
1509;UNIVERSAL PACKAGING COMPANY;ID;ARIANA;20 Rue Mosquée Erraoudha la soukra;70 682 660;70 682 680
1510;SOFAS - STE DE FABRICATION D'ALLUMETTES DE SURETE;ID;AUCUN;6 RUE IBN EL JAZZAR, TUNIS;71 795 306;71 796 983
1511;BEJA PLASTIQUE ETS ARFAOUI BRAHIM;ID;BEJA;ZI N°1 Route Amdoun Béja Nord;78 459 244;78 443 325
1512;COMPAGNIE D'EMBALLAGE ET DE TRANSFORMATION D'ALUMINIUM - CETRAM;ID;BEJA;ZI Sidi Rezig, Rue des Usines;71 433 299;71 425 391
1513;CPI- ETS AMRI MOHAMED;ID;BEJA;SIDI SHILI;78 425 425;74 454 897
1514;NEW VALLEY D'INDUSTRIE DE BOIS ET D'ALUMINIUM;ID;BEJA;Zone Idustrielle Beja Nord;78 451 503;78 451 506
1515;SOCIETE D'ARTICLES HYGIENIQUES - SAH;ID;BEJA;5 rue 8610 Charguia 1;71 809 222;70 809 111
1516;SOCIETE DE TRANSFORMATION INDUSTRIELLE DES PLASTIQUES ET ASSEMBLAGE-IPLAST;ID;BEJA;ZI Beja Nord;78 449 009;78 449 009
1517;SOCIETE ECOBAT;ID;BEJA;Route Secondaire de Béja BP 175 Mdjez El Bab;78 563 488;78 563 489
1518;SOCIETE KARAMA MAGHREB;ID;BEJA;13 Rue Ali Bach Hamba;71 255 247;71 348 776
1519;SOCIETE LES HERITIERS AMRI MOHAMED CPI;ID;BEJA;BP 22 SIDI SHILI;78 425 425;78 425 494
1520;SOCIETE NEOFILSID;ID;BEJA;37 Rue Séjnène Bardo;71 542 782;71 542 636
1521;SOCIETE OFFICE PLAST;ID;BEJA;ZI 2 Medjez El Bab BP 156;78 564 155;78 564 185
1522;SOCIETE TUNISIENNE D'EQUIPEMENTS SANITAIRES - SOTES;ID;BEJA;ZI Cité El Amal Mdjez El Bab;78 563 233/71755558;78 563 580/71753185
1523;SOCIETE TUNISIENNE DES INDUSTRIES DU PLASTIQUE - STIP;ID;BEJA;ZI Le Kram;71 973 222;71 978 348
1524;AMEUBLEMENT INDUSTRIEL ET MENUISERIE - AIM;ID;BEN AROUS;Rue Jérusalem ZI Ezzahra;71 481 297;71 451 790
1525;ARCELOR CONSTRUCTION MAGHREB - ACM;ID;BEN AROUS;Rue Jamel Abdennaceur ZI Borj Cedria;71 454 545;71 450 933
1526;BORAPLAST SA;ID;BEN AROUS;3 Bis Rue des fonderies ZI Ben Arous;71 388 666;71 389 800
1527;CCA TUNISIE;ID;BEN AROUS;ZI M'ghira 3 Lot 119 rue Tozeur Parc Aéronautique Fouchana;71 409 520/622;71 409 630
1528;COMPAGNIE TUNSIENNE DES SACS;ID;BEN AROUS;route de NAASEN km 7 bir il kasaa III;71382589;71.382.360
1529;COMPTOIR TUNISIEN D'IMPRIMERIE - COTIM;ID;BEN AROUS;Route de Nâassen ZI Bir El Kassâa;71 385 757;71 382 303
1530;DELTA GRAFIX;ID;BEN AROUS;Rue Eskhira ZI St Gobain;71 432 052;71 432 028
1531;ETABLISSEMENT KAMMOUN MUSTAPHA - EKM;ID;BEN AROUS;Rue des Fonderies N° 37  ZI Ben Arous;71 384 780/337;71 384 690
1532;EXTRA MOULDS;ID;BEN AROUS;Rue de la Physique ZI Bir el Kassaa3 el Mourouj 3; 71 386 699;
1533;FLEXINOV;ID;BEN AROUS;26 Rue Kasserine Z.I M'ghira 3 Fouchena;;
1534;GABES PLAST;ID;BEN AROUS;10 Rue Costantine;75 273 404;75 274 954
1535;GASCOGNE SACK TUNISIA;ID;BEN AROUS;Rue de l'exportation ZI de Radès BP 276;71 448 020;71 448 467
1536;IMPRIMERIE DAR EL HADATH;ID;BEN AROUS;ZAOUIET MORNAG - BEN AROUS;71 361 510;71 361 500
1537;IMPRIMERIE EL HECHMI;ID;BEN AROUS;35 Avenue de Paris;71 385 920;71 385 920
1538;IMPRIMERIE L'ORIENT;ID;BEN AROUS;ZI Sidi Rezig Mégrine;71 434 818;71 432 796
1539;IMPRIMERIE NAOUEL;ID;BEN AROUS;Route de Khlédia km 13 Naassen;71 398 447;71 398 492
1540;INTERNATIONAL PACKAGING;ID;BEN AROUS;ZI M'Ghira 2 Lot N° 206 Fouchena;79 408 430;79 408 420
1541;IPRIMERIE LAPORTE +;ID;BEN AROUS;Lot 77 Mghira II Fouchana;79 408 703;79 408 726
1542;JARDIN ET MAISON;ID;BEN AROUS;Z.I. SIDI REZIG;71 433 022;71 433 477
1543;LABEL & PACK;ID;BEN AROUS;ZI Borj Cedria;71 430 436;71 430 487
1544;LES GRANDS ATELIERS DU NORD - GAN;ID;BEN AROUS;ZI Bir El Kassâa;70020520/79214477;71 384 579/79514748
1545;MAISON YAMAMA D'EDITION ET DIFFUSION - MYED;ID;BEN AROUS;58 Rue du cuir Zi Sidi Rezig Megrine;71 429 222;71 297 565
1546;MTMP-MANUF. TNNE DE MATIERES PLASTIQUES;ID;BEN AROUS;5 Rue El Kahena;71 449 344;71 449 045
1547;NEWSELE TUNISIE;ID;BEN AROUS;Rue Ibn Majaa Z.I Saint Gobain Mégrine;71 426 928;71 427 986
1548;PERPLASTIC TUNISIA SARL;ID;BEN AROUS;ZI MGHIRA II LOT N°7FOUCHANA BEN AROUS TUNISIE;71409130;71409108
1549;PHARMA PLASTI;ID;BEN AROUS;Rue de la physique ZI Ben Arous;71 385 645;71 385 646
1550;PLASTEEL TUNISIE ( EX: ALTIA MEGRINE);ID;BEN AROUS;Rue des usines Megrine;71 425 483/71296040;71 428 050/71426050
1551;PLASTEKA;ID;BEN AROUS;ZI Ezzahra El Quods;71 450 054;71 451 790
1552;SARTORIUS STEDIM BIOPROCESS (EX SARTORIUS STEDIM SUS);ID;BEN AROUS;Route Zaghouan Km 24 Bourbiaa M'hamdia BP 87;79 397 014;79 397 019
1553;SGA -STE GLE D'AGENCEMENTS;ID;BEN AROUS;ZI Saint Gobain;71 433 939;71 433 999
1554;SIAB PACKAGING LOGISTIC CENTER;ID;BEN AROUS;Route se Sousse km 4 megrine riadh;71 448 290;71 448 290
1555;SIFA - STE IND DE FABRICATION D'ANSES;ID;BEN AROUS;Z.I. DE BEN AROUS;71 799 445;71 783 040
1556;SINBY-SID;ID;BEN AROUS;Z.I Sidi Rezig,11, Rue de la Teinturerie;71 799 445;71 783 040
1557;SOCIETE  NAOUFEL ELGHOZZI FABRATUB;ID;BEN AROUS;Av de l'environn., 39 Cité  El Mahragène;71 217 001;71 217 001
1558;SOCIETE ABDENNADHER DESIGN;ID;BEN AROUS;Avenue Farhat Hachad Sidi Rezig;71 216 020;71 216 040
1559;SOCIETE ALYSSA EMBALLAGE;ID;BEN AROUS;ZI Borj Cedria Hammam Chatt;71 431 114;71 431 513
1560;SOCIETE AMPM;ID;BEN AROUS;160 Avenue Abderrahman Bahri;31 122 022;71 216 326
1561;SOCIETE AZURPACK;ID;BEN AROUS;ZI Sidi Rezig N°13 Rue du Plastic;71 426 399;71 427 399
1562;SOCIETE BAKOPLAST;ID;BEN AROUS;ZI Borj Cedria;71 430 187;71 430 400
1563;SOCIETE BERRICH METAL;ID;BEN AROUS;ZI sotubi Megrine;71 296 566/55000066;71 296 558
1564;SOCIETE BESTOPLAST TUNISIE;ID;BEN AROUS;GP1 Route de Sousse Km 3.5 Mégrine Riadh;71 392 532;71 397 655
1565;SOCIETE BOUTONS ET ARTICLES DIVERS - BAD;ID;BEN AROUS;Rue Ahmed Tlili N° 29 Z.I Borj Cedria;71 430 177;71 430 432
1566;SOCIETE CIPAP;ID;BEN AROUS;5 Rue de la CHIMIE, MEGRINE;71 425 000;71 425 808
1567;SOCIETE CODIL TUNISIE;ID;BEN AROUS;Rue Hateb Ibn Abi Baltâa Cité Riadh;73 306 244;73 306 211
1568;SOCIETE COM CA;ID;BEN AROUS;174 Rue Jerissa ZI Megrine Saint Gobain;71 429 096;71 428 951
1569;SOCIETE COSMOS PLAST RECYCLING;ID;BEN AROUS;Rue De La Teinturerie Z.I. Sidi Rezig Megrine;71 433 620;71 434 406
1570;SOCIETE DAR EL FOUNOUN;ID;BEN AROUS;6 rue Mongi Slim;71 383 457;71 380 960
1571;SOCIETE DELTA CUISINE;ID;BEN AROUS;Boulvard du Maghreb Arabe BP 426 Charguia 1;71 449 505;79 408 606
1572;SOCIETE DELTA IMPRESSION;ID;BEN AROUS;ZI Mghira Route Fouchana;71 409 500;71 409 600
1573;SOCIETE EQUIPEMENT BUREAUX - SEB;ID;BEN AROUS;54 Rue du Commandant Béjaoui;71 252 003;71 354 728
1574;SOCIETE ETANCHEITE TUNISIENNE;ID;BEN AROUS;Route de Chbedda Z.I Nâassen;79 307 200;71 307 777
1575;SOCIETE GALION;ID;BEN AROUS;Route de Fouchena Chebedda;71 308 500;71 308 400
1576;SOCIETE GENERAL HORTI SERVICE - GHS;ID;BEN AROUS;Route Khelidia Km 6 Nâassen;71 366 812;71 366 811
1577;SOCIETE GENERAL PLASTIC;ID;BEN AROUS;ZI Borj Cedria Bir El Bey;71 431 155;71 431 015
1578;SOCIETE HOUSE PRINT  & SERVICES HPS;ID;BEN AROUS;23, Rue Hédi Nouira Hammam Lif;71 293 751;71 211 517
1579;SOCIETE IMPRIMERIE PRINCIPALE;ID;BEN AROUS;Z.I BEN AROUS RUE DES METAUX;71 380 201;71 381 493
1580;SOCIETE INDUSTRIELLE D'ARTICLES DE BUREAUX - SIAB;ID;BEN AROUS;Route de Sousse Km 4 Mégrine Riadh;71 434 780;71 433 044
1581;SOCIETE LA CAPSULE TUNISIENNE;ID;BEN AROUS;ZI Bir El Kassâa;71 382 200;71 384 856
1582;SOCIETE LA METALLOPLASTIC;ID;BEN AROUS;Route de Sousse Km 13.5;71 452 600;71 451 411
1583;SOCIETE L'ABRASIF INDUSTRIEL;ID;BEN AROUS;Rue du mercure ZI Ben Arous;71 380 908/71409399;71 382 439/71409899
1584;SOCIETE L'EMBALLAGE METALLIQUE ET PLASTIQUE (EX COGETCO);ID;BEN AROUS;20 Avenue Taieb M'hiri Mégrine;71 297 645/71295915;71 432 049
1585;SOCIETE MAGHREB EMBALLAGE PLUS;ID;BEN AROUS;10 Rue de la Gare Mégrine;71 426 149;71 432 338
1586;SOCIETE MAGHREB TRANSMISSIONS;ID;BEN AROUS;ZI M'ghira III Lot N° 51 Fouchena;79 408 862;79 408 564
1587;SOCIETE MED INDUSTRIE;ID;BEN AROUS;GP 1 Km 12 Ezzahra;70 020 520;71 452 534
1588;SOCIETE ML PLAST;ID;BEN AROUS;Route de Sousse Km 7 Mégrine;71 432 450;71 432 445
1589;SOCIETE MTMG;ID;BEN AROUS;7 rue de la fonte ZI Ben Arous;71 380 627;71 389 711
1590;SOCIETE NAT;ID;BEN AROUS;El Imam El Bousayri ZI Ben Arous;71 381 795;71 381 811
1591;SOCIETE NIEF PLASTIC TUNISIA - NP TUNISIA;ID;BEN AROUS;ZI Mghira 3 Lot N°3 Fouchana;79408318;79408314
1592;SOCIETE NOUVEAUX EMBALLAGES TUNISIENS - NET;ID;BEN AROUS;2, Rue de Guinée;71 788 684;71 786 402
1593;SOCIETE OK POLYSTYRENE;ID;BEN AROUS;ZI Borj Ghorbel à côté du marché de Gros BP 71;71 398 466/22333808;71 398 499
1594;SOCIETE PC EMBALLAGE;ID;BEN AROUS;Avenue Mokhtar Ziadi Sakiet Ezzit;74 859 158;74  859 156
1595;SOCIETE PLACOPLAST;ID;BEN AROUS;ZI M'Ghira N° 71 Fouchena;71 409 509;71 409 606
1596;SOCIETE PLASTIC TUNISIE;ID;BEN AROUS;Rue Laroussi Haddad ZI Mégrine;71 433 056;71 433 056
1597;SOCIETE PLASTICS TECHNOLOGY - PLASTEC;ID;BEN AROUS;Route de Sousse Km 6  ZI Ben Arous;71 386 137;71 386 371
1598;SOCIETE PRECISE FORME;ID;BEN AROUS;32 Rue de la gare;71 427 229;71 427 229/71425770
1599;SOCIETE PRESS PACK;ID;BEN AROUS;ZI Bir El Kassâa BP 21;79 390 650;71 387 724
1600;SOCIETE PRINTSECURE INTERNATIONAL;ID;BEN AROUS;ZI Bir El Kassâa Route de Nâassen;71 941 640/79408384;71 941 526/79408926
1601;SOCIETE RATEL CADEAUX;ID;BEN AROUS;Route de Sousse km 13 Ezzahra;71 452 522;71 450 411
1602;SOCIETE RECYCLOPAST;ID;BEN AROUS;ZI Bir El Kassâa Rue de la laine;71 386 215;71 387 675
1603;SOCIETE SALOTTITALIA;ID;BEN AROUS;ZI M'ghira lot 65 Fouchena;79 408 745/709;79 408 783
1604;SOCIETE SEMKADHESIF;ID;BEN AROUS;Z.I Bir El kassaâ B.P 21;71 382 200;71 384 010
1605;SOCIETE SFTT;ID;BEN AROUS;ZI Radès route du bac;71 449 143;71 449 106
1606;SOCIETE SOTEB;ID;BEN AROUS;123 Cité Iskan 4;79 408 547;79 408 711
1607;SOCIETE SOTULIN;ID;BEN AROUS;résidence safsaf abyedh hammam chatt borj cedria;78 223 222;78 229 777
1608;SOCIETE SOTUNAP;ID;BEN AROUS;ZI Chebedda Nâasen 1135 BEN AROUS;71 308 447;71 308 445
1609;SOCIETE TECHNO PANELS;ID;BEN AROUS;Publiposte les Berges du Lac BP 145;71 449 616;71 449 905
1610;SOCIETE TECHNO-FAB;ID;BEN AROUS;Rue Mehrez Ibn Khalaf Zaouia Mornag;29 787 619;
1611;SOCIETE TIKADHESIF;ID;BEN AROUS;ZI Bir El Kassaâ;79 390 650;71 384 724
1612;SOCIETE TOP PRINTING;ID;BEN AROUS;58 Rue du cuir Z I Sidi Rezig Mégrine;71 428 088;74 428 820
1613;SOCIETE TUNIS DRIP;ID;BEN AROUS;Rue du Fouledh ZI Ben Arous;71 388 605;71 388 594
1614;SOCIETE TUNISIENNE D'ELASTOMERE - STE;ID;BEN AROUS;Route Fouchena Nâassen km 1.5;71 404 077;71 403 430
1615;SOCIETE TUNISIENNE DES EMBALLAGES MODERNES - STEM;ID;BEN AROUS;1 Rue du papier Mégrine Erriadh;71433 218/660;71 434 376
1616;SOCIETE VITAL;ID;BEN AROUS;Avenue Abderrahman Elbahri Boumhel;71 258 259;71 244 067
1617;SOLTANE INDUSTRIE;ID;BEN AROUS;Rue Amman ZI ezzahra;71 454 420;71 456 776
1618;SOPACK;ID;BEN AROUS;Rue 1 juin 1956 Hammam chatt;31502205;
1619;STE CARTON PRINT EMBALLAGE;ID;BEN AROUS;Route de khélidia Km 6 Nâassen Fouchena;70 739 611;70 739 612
1620;"STE D'IMPRESSION ET DE COUPE ""SIDE""";ID;BEN AROUS;7 Bis Rue Echbilia;71 252 372;71 344 267
1621;STE GLE DE MEUBLE;ID;BEN AROUS;ZI Mégrine Saint Gobain;71 429 009;71 429 140
1622;STE INTERPLASTIC;ID;BEN AROUS;15, Rue Charles de Gaulle POB 572;71 323 408;71 321 571
1623;STE STRUCFLEX TUNISIA;ID;BEN AROUS;ZI Mohammedia route Khlidia;79 358 200;79 358 322
1624;STE TECHNIC - ALU;ID;BEN AROUS;ZI Saint Gobain Z4 Mégrine Riadh;71 427 300;71 427 377
1625;STIBOIS;ID;BEN AROUS;Z.I. Bir El Kassaa;71 381 760;71 384 579
1626;THOMAS TUNISIE PLASTIC - TTP;ID;BEN AROUS;1 Rue du plastique ZI Sidi rezig  MEGRINE;71 425 349;71 425 229
1627;TOUPACK INDUSTRIE;ID;BEN AROUS;18 rue de la fonte ZI Ben Arous;71 386 220;71 386 230
1628;AD PLAST;ID;BIZERTE;Bni nafaa, la pêcherie - MENZEL SMAEL;72 510 620;72 510 577
1629;ALOUI NAOUFEL - TERRE ET FER;ID;BIZERTE;28 Avenue Dar Fadhal Soukra Chotrana 1;71 865 881;71 863 029
1630;BARAKA PACK;ID;BIZERTE;Avenue de l'environnement Menzel bourguiba;72 519 745;72 519 295
1631;COMPAGNIE D'ISOLATION ET D'EMBALLAGE - CIEM;ID;BIZERTE;ZI Utique 7060 BIZERTE;72 445 024;72 445 020
1632;ELORY EYEWEAR;ID;BIZERTE;16 Zone Industrielle Cité Ennasr;72 465 662;74 785 563
1633;ENTREPRISE CHAKIR ZOUHAIR - ALPHA MEUBLES;ID;BIZERTE;Avenue Hédi Cheker N° 42 Menzel Bourguiba;72 518 013;72 471 540
1634;FORMAPLAS TUNISIE;ID;BIZERTE;ZI Utique;72 494 194;72 494 192
1635;MANUFACTURE DE SACHETS ET FILETS - MSF;ID;BIZERTE;Z I Utique;72 445 077;72 445 123
1636;MEDFILM;ID;BIZERTE;Parc des activité Economique Menzel Bourguiba;72 418 406;71 418 484
1637;MEDICA MEDITERRANEE;ID;BIZERTE;ZI Menzel Jemil;72 499 034;72 490 475
1638;PLASTIC METAL;ID;BIZERTE;5 Rue d'Iran Bizerte;02510073;02510984
1639;ROTO PROCESS INTERNATIONAL (EX TUNISIA POLYVALENCE PLASTURGIE);ID;BIZERTE;Parc d'activité économiques de Bizerte;72 417 905;72 417 575
1640;SOCIETE BESTWOOD;ID;BIZERTE;Z.I Utique;72 445185;72 445 488
1641;SOCIETE BIO FASSY;ID;BIZERTE;Z I Menzel Jemil;72 440 466;72 440 976
1642;SOCIETE ELECRECYCLAGE;ID;BIZERTE;LOT 50 ZI UTIQUE BIZERTE ;31132458;72494105
1643;SOCIETE MAHDILUX;ID;BIZERTE;ZI Mateur;72468434;72468462
1644;SOCIETE NOLANPLASTICA TUNISIA;ID;BIZERTE;Parc des activités économiques de Bizerte N°16;72 417 160;72 417 244
1645;SOCIETE OPTOMADE;ID;BIZERTE;Boulevard 7 Novembre Cité Nozha Menzel Jmil;72 440 945;72 490 366
1646;SOCIETE ORBIS IMPRESSION;ID;BIZERTE;1 Rue d'Arabie Saoudite;71 280 229;71 280 231
1647;SOCIETE PACKING WOOD;ID;BIZERTE;40 Avenue Behi Ladgham Ennasr II;71 848 809;71 848 809
1648;SOCIETE ROTOPLAST;ID;BIZERTE;Zone industrielle d'utique;72494077;72494123
1649;SOCIETE SILVATRIM TUNISIA - EX PLASTIPART;ID;BIZERTE;ZI Utique;72794031/98707164;72 405 710/72494027
1650;SOCIETE TECHNIPLAST INDUSTRIE;ID;BIZERTE;Rue du Lac lochness immeuble les arcades Les Berges du lac;71 860 244;71 860 571
1651;SOCIETE TPE TUNISIE;ID;BIZERTE;Route de Metline Ras Djebel;72 457 143;72 457 144
1652;SOCIETE TUNISIA POLYVALENCE PLASTURGIE - TPP;ID;BIZERTE;Zone Franche Avenue Habib Bourguiba N° 214;72 417 135;72 417 004
1653;SOCIETE TUNISIENNE D'ARTICLES DE BUREAUX - STAB;ID;BIZERTE;Avenue Bab Jedid N° 43;71 354 190;71 433 778
1654;SOCIETE WMAGIC;ID;BIZERTE;Parc d'activité économique de Bizerte Zone C;72 417 003;72 417 070
1655;ZETAPLAST TUNISIE;ID;BIZERTE;Parc d'activité economiques de Bizerte;72400247;72400247
1656;IMPRIMERIE AL MANARA;ID;GABES;Avenue Salah Eddine Ayoubi;75 286 137;75 286 790
1657;SOCIETE ALKIMIA PACKAGING;ID;GABES;11 Rue des Lilas Cité Mahrajène;71 792 564;71 787 283
1658;SOCIETE GABES SACS;ID;GABES;ZI Gabes BP 120;75 225 758;75 225 748
1659;SOCIETE GABESIENNE D'EMBALLAGE - SOGEMBAL;ID;GABES;Rue Lac Huron  Résidence Mehdi Les Berges du Lac;71 961 854;71 960 880
1660;SOCIETE GENERALE D'IMPRESSION - SOGIM;ID;GABES;Route de Mednine Cité El Médina Zrig;75 392 270;75 392 944
1661;SOCIETE PAPER CUP;ID;GABES;BP N° 113 Tebelbou;75 290 088/75394606;75 290 088
1662;SOCIETE POLY DECOR;ID;GABES;Rue Salaheddine Ayoubi;75 295 223;75 295 223
1663;SOCIETE SOVIPLAST;ID;GABES;Rte de Médnine Km 14 Kettana;75 372 160;75 372 170
1664;SOCIETE STARPLAST;ID;GABES;GP1 Km 20 Kettana;75 237 166;75 350 544
1665;PAPUROS;ID;GAFSA;Rue Al Khansaa, 2001 GAFSA;76 224 288;76 227 240
1666;SOCIETE LASER WORLD;ID;GAFSA;Boulevard de l'environnement;76 226 382;76 226 382
1667;TUYAU PLAST;ID;GAFSA;Route de Tozeur Km 3;76 221 723;76 226 286
1668;TUYAUPLAST - PLACOPLAST;ID;GAFSA;Route de Tozeur Km 3 - BP 270 - Gafsa;76 220 055;76 226 286
1669;SOCIETE INTER MAGHREB MEUBLES;ID;JENDOUBA;Z I Jendouba BP 42;78 601 566;78 604 242
1670;SOCIETE NOUVELLE DU LIEGE;ID;JENDOUBA;Route Ain Draham Tabarka;78 671 815;78 673 208
1671;SOCIETE PANOFORT PLUS;ID;JENDOUBA;41 Avenue Khéreddine Pacha Bloc A;71 846 455;71 844 338
1672;SOCIETE AMINA;ID;KAIROUAN;ROUTE DE TUNIS KM4 DHRAA TAMMAR KAIROUAN ;77272422;77272522
1673;SOCIETE EMBAPLAST;ID;KAIROUAN;Route de Sousse Km 6.5;71 384 100;71 384 105
1674;SOCIETE INTERNATIONAL PLASTIC;ID;KAIROUAN;Pacha Centre Ap C03 Av Khaireddine Pacha Monplaisir;71 906 188;71 906 168
1675;SOCIETE MEDITERRANEAN POLYSTYRENE COMPANY-MEDPYC;ID;KAIROUAN;ZI AFI 2 lot n°45 route de Tunis Kairouan nord;77 275 000;77 275 100
1676;TOP CUISINE;ID;KAIROUAN;Rue Bayet El Hekma cité El Moez;77 237 615;77 237 622
1677;SACS PLUS;ID;KASSERINE;ZI route de Thala;29 069 895;77 411 026
1678;SOCIETE DE PAPIER ET CARTON - SPAC;ID;KASSERINE;Zone Industrielle, Route de Sbiba;77 466 264;77 465 370/77466904
1679;SOCIETE DE PAPIERS FINS - SOPAFI;ID;KASSERINE;Rue du Maghreb Sbitla;77 465 277;77 465 078
1680;SOCIETE GHODHBANI PLAST;ID;KASSERINE;Lotissement Sâad Eddine Cité Ezzouhour;41 715 000;77 411 026
1681;SOCIETE INSPIRATION DESIGN;ID;KASSERINE;Appartement Tlili Avenue 14 janvier;77 477 565;77 477 565/77473494
1682;SOCIETE SACHERIE DU CENTRE KASSERINE - SOSACK;ID;KASSERINE;ZI Route de Sbitla;77 475 717;77 475 718
1683;IMPRIMERIE NOURI MONGI;ID;KEBILI;Route de Tozeur Cité administrative;75 490 244;75 492 282
1684;KERKOUANE MEUBLES;ID;KEBILI;Zone industrielle Assemer;72 296 321;72 295 694
1685;SOCIETE AMEUR PLASTICS;ID;KEBILI;Cité Ennassim Janoura;75 490 857;75 490 856
1686;FONDERIE EL HANAYA;ID;KEF;Route de Sousse Km 6, Megrine;71 433 233;71 433 424
1687;SOCIETE ZRALLI D'IMPRESSION - SOZIM;ID;KEF;Place Carthage le kef;98 285 257;
1688;SOCIETE FREGATE;ID;MAHDIA;"FREGATE SARL
ROUTE BOUMARDES-PB
MAHDIA";73653230;73653235
1689;SOCIETE IMED MASMOUDI;ID;MAHDIA;Avenue 2 Mars 1934 Immeuble Hamza;73 695 946;73 690 514
1690;SOCIETE KASPLAST;ID;MAHDIA;Avenue Farhat Hached El Jem;73 611 546;73 611 545
1691;SOCIETE NUMERIKA;ID;MAHDIA;Rue Ibn El Heythem 1ère étage près bureau d'emploi;73 693 551;73 693 581
1692;SOCIETE PROFILM;ID;MAHDIA;ZI Souassi;73 610 545;73 610 547
1693;BOIS DELAMAISON;ID;MANOUBA;13 Rue de l'imprimerie ZI ksar said;71 546 466;71 546 220
