SPECIALITE,Median_Salary_TND
ANATOMIE PATHOLOGIQUE,7000
ANESTHESIE & ANESTHESIE REANIMATION,10000
BACTERIOLOGIE & MICROBIOLOGIE,7000
BIOCHIMIE,7000
BIOLOGIE CLINIQUE,7000
BIOPHYSIQUE ET MEDECINE NUCLEAIRE,7000
CARDIOLOGIE,10000
CHIRURGIE CARCINOLOGIE,12000
CHIRURGIE CARDIO-VASCULAIRE & PERIPHERIQUE,12000
CHIRURGIE GENERALE,12000
CHIRURGIE ORTHOPEDIQUE,12000
CHIRURGIE PEDIATRIQUE,12000
CHIRURGIE PLASTIQUE & REPARATRICE,12000
DERMATOLOGIE,10000
ENDOCRINOLOGIE,10000
GASTRO-ENTEROLOGIE,10000
GYNECOLOGIE-OBSTETRIQUE,10000
HEMATOLOGIE BIOLOGIQUE,7000
HEMATOLOGIE CLINIQUE,10000
HISTO-EMBRYOLOGIE,7000
IMMUNOLOGIE & VIROLOGIE,7000
MALADIES INFECTIEUSES,10000
MEDECIN DENTISTE,9000
MEDECINE CARCINOLOGIQUE,10000
MEDECINE D'URGENCE,10000
MEDECINE DE FAMILLE,8000
MEDECINE DU TRAVAIL,7000
MEDECINE GENERALE,8000
MEDECINE INTERNE,10000
MEDECINE PHYSIQUE,7000
NEPHROLOGIE,10000
NEURO-CHIRURGIE,12000
NEUROLOGIE,10000
NUTRITION,10000
O.R.L.,10000
OPHTALMOLOGIE,10000
ORTHOPEDIE DENTO FACIALE,9000
PEDIATRIE,10000
PHARMACIEN : BACTERIOLOGIE & MICROBIOLOGIE,6000
PHARMACIEN : BIOCHIMIE,6000
PHARMACIEN D'OFFICINE DE JOUR,6000
PHARMACIEN D'OFFICINE DE NUIT,6000
PHYSIOLOGIE & EXPLORATION FONCTIONNELLE,7000
PHYSIOTHERAPIE,7000
PNEUMO-PHTISIOLOGIE,10000
PSYCHIATRIE,10000
PSYCHIATRIE INFANTILE,10000
RADIOLOGIE (DIAGNOSTIC),10000
RADIOTHERAPIE,10000
REANIMATION MEDICALE,10000
RHUMATOLOGIE,10000
STOMATOLOGIE ET CHIRURGIE MAXILLO-FACIALE,12000
UROLOGIE,12000
